_type	layouts	name
anjuke	[{"img":"http://b.pic1.ajkimg.com/display/xinfang/9c9cf53d10a14dda35da27a51e150601/240x180n.jpg","name":"C户型：","layout":"2室2厅2卫","area":"约90.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/a8fac91283e321e13da2e5beeb80059e/240x180n.jpg","name":"B户型：","layout":"3室2厅2卫","area":"约140.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/01fa58c46faef829553de4b53a009a4d/240x180n.jpg","name":"A户型：","layout":"2室2厅2卫","area":"约90.00平米"}]	绿中海雅庭
anjuke	[{"img":"http://b.pic1.ajkimg.com/display/xinfang/ec9cd74703472034dd4364916b5457c4/240x180n.jpg","name":"A户型：","layout":"2室2厅2卫","area":"约87.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/b71214cf3b83ef667511f9cd67bb5490/240x180n.jpg","name":"B户型：","layout":"1室1厅1卫","area":"约50.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/8c570c6fdf3dbefc1503078ec3e83c73/240x180n.jpg","name":"C户型：","layout":"2室2厅2卫","area":"约89.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/8be209e76efc35a26db642e0bb356f19/240x180n.jpg","name":"D户型：","layout":"别墅","area":"约196.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/4877f1d2a5bd505290f6de25f7961368/240x180n.jpg","name":"E户型：","layout":"别墅","area":"约223.00平米"}]	佳兆业珊瑚湾
anjuke	[{"img":"http://b.pic1.ajkimg.com/display/xinfang/ec23c6d8683c536582900dff6aed762c/240x180n.jpg","name":"C户型：","layout":"4室2厅2卫","area":"约147.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/135e6711f076fd1f71308866c559e0b0/240x180n.jpg","name":"E户型：","layout":"4室2厅3卫","area":"约163.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/b337395440886f429558eb551cc5aa95/240x180n.jpg","name":"B户型：","layout":"4室2厅2卫","area":"约163.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/32eacdcf953ae049901b786fdaa18ae9/240x180n.jpg","name":"A户型：","layout":"3室2厅2卫","area":"约90.00平米"}]	静安·慕舍
anjuke	[{"img":"http://d.pic1.ajkimg.com/display/xinfang/3321cb95e91c0c69e2410c78beda1b2d/240x180n.jpg","name":"LOFT_C：","layout":"商住","area":"约80.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/3321cb95e91c0c69e2410c78beda1b2d/240x180n.jpg","name":"LOFT_B：","layout":"商住","area":"约58.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/01a444f31df847996acd864fb3936235/240x180n.jpg","name":"LOFT_A：","layout":"商住","area":"约35.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/4ae6d074e1253eab6baf36d7eea48509/240x180n.jpg","name":"d09：","layout":"商住","area":"约110.00平米"}]	绿地曼哈顿
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/419a64cc85b0767819e458bed60b8760/240x180n.jpg","name":"C户型（锦：","layout":"别墅","area":"约131.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/0064d53ce356f1b9e32f2387d09d84c7/240x180n.jpg","name":"A2户型(别：","layout":"别墅","area":"约113.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/1c07d823964b4238946eb037971a3eb6/240x180n.jpg","name":"D1户型（观：","layout":"别墅","area":"约244.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/3a0dc4ff187e08c30bd161b9c505b6bf/240x180n.jpg","name":"B2户型（泊：","layout":"别墅","area":"约77.00平米"}]	祥腾·东平森林1号
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/dd6e048a4d586499a22f6d208556de05/240x180n.jpg","name":"13#G户型：","layout":"2室2厅2卫","area":"约118.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/79b7b7d9169a5a5f4eeff02ce02a0b92/240x180n.jpg","name":"9#B户型：","layout":"3室2厅2卫","area":"约114.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/cd165c1c6e0aa0dd604752bbc5b44753/240x180n.jpg","name":"11#D户型：","layout":"2室2厅1卫","area":"约89.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/c962499c9187ac55d95e39542da3f3b9/240x180n.jpg","name":"9#C户型：","layout":"3室2厅2卫","area":"约115.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/f4bd5bec2a98135a8017aa96bd5e3151/240x180n.jpg","name":"11#F户型：","layout":"2室2厅1卫","area":"约89.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/4dd49b8c308026601c2bae11e64a9d61/240x180n.jpg","name":"13#H户型：","layout":"2室2厅1卫","area":"约88.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/12685c77cefb1346e83228be0642e44c/240x180n.jpg","name":"13#I户型：","layout":"2室2厅1卫","area":"约89.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/a2514eae7f663fa503fa6114d1c70bc6/240x180n.jpg","name":"9#A户型：","layout":"2室2厅1卫","area":"约89.00平米"}]	星汇兰亭
anjuke	[{"img":"http://d.pic1.ajkimg.com/display/xinfang/767f2a4cbf6bfe0cc178de08b5027c1d/240x180n.jpg","name":"B1’户型：","layout":"3室2厅2卫","area":"约130.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/ef9c4be6c0c323b88b2bcf5e6fe39a1f/240x180n.jpg","name":"B2‘户型：","layout":"1室2厅1卫","area":"约78.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/73d10905281d2fd52acdd6ca9c439cf4/240x180n.jpg","name":"D3户型：","layout":"3室2厅2卫","area":"约124.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/613485090a312c9085e29a87b35cb9eb/240x180n.jpg","name":"D2户型：","layout":"1室2厅1卫","area":"约78.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/8d1da9834907e6d3356d532413c780e5/240x180n.jpg","name":"D1户型：","layout":"3室2厅2卫","area":"约127.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/ddda7de58bd90f0ff9eb1f45975f5dc2/240x180n.jpg","name":"A2户型：","layout":"2室2厅1卫","area":"约91.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/874ef85a1c9cb6ba30b54b112998e881/240x180n.jpg","name":"A1户型：","layout":"2室2厅1卫","area":"约114.00平米"}]	嘉宝紫提湾
anjuke	[{"img":"http://b.pic1.ajkimg.com/display/xinfang/9357ac9dec23e84c70aa9ff7941c5bdf/240x180n.jpg","name":"B1-1户型：","layout":"2室2厅1卫","area":"约95.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/2f53c94c56d5deaf30a609d86071ec59/240x180n.jpg","name":"B户型：","layout":"2室2厅1卫","area":"约94.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/c59e2ab26dea6ee1e198b865c08aae6a/240x180n.jpg","name":"A户型：","layout":"2室2厅1卫","area":"约81.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/898cba54bb0845dba406cbeed0e5befb/240x180n.jpg","name":"C户型：","layout":"3室2厅1卫","area":"约123.00平米"}]	千灯裕花园
anjuke	[{"img":"http://b.pic1.ajkimg.com/display/xinfang/98d742000a3e59761a8ffbe8d2177f94/240x180n.jpg","name":"商务公馆：","layout":"1室1厅1卫","area":"约45.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/84ccf2cf00a5ec84749388329ff48d8d/240x180n.jpg","name":"A2户型：","layout":"1室1厅1卫","area":"约45.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/3ae3a38d2f5ae732d75e0e9ffdc28d8a/240x180n.jpg","name":"A1户型：","layout":"1室1厅1卫","area":"约45.00平米"}]	yoho街区
anjuke	[{"img":"http://c.pic1.ajkimg.com/display/xinfang/2f18d476c987e4b3ddb500595802974a/240x180n.jpg","name":"A3户型：","layout":"2室2厅1卫","area":"约85.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/b384a184cc3771cfa1823676fe4e7bc1/240x180n.jpg","name":"72户型：","layout":"2室2厅1卫","area":"约72.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/5fd4229f8086a040abdc3480b4a67e5d/240x180n.jpg","name":"C户型：","layout":"3室2厅2卫","area":"约120.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/979e458d35450b60506037677e39c2e7/240x180n.jpg","name":"B户型：","layout":"4室3厅2卫","area":"约157.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/1ac02745f284f74ae585d291f4ee270d/240x180n.jpg","name":"A2户型：","layout":"2室2厅1卫","area":"约90.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/01cee183c69d916a9301c2d36d0ac28b/240x180n.jpg","name":"A户型：","layout":"2室2厅1卫","area":"约89.00平米"}]	西郊美德苑
